"","Kilometres","Zone","Bonus","Make","Insured","Claims","Payment"
"98","1","2","7","7",9322.53,542,2769357
"99","1","3","1","1",62.53,6,48495
"100","1","3","1","2",22.94,5,22703
"101","1","3","1","3",17.73,3,15788
"102","1","3","1","4",6.76,1,992
"103","1","3","1","5",8.97,2,31615
"104","1","3","1","6",25.31,3,2575
"105","1","3","1","7",452.57,59,263066
"106","1","3","2","1",74.65,12,61398
"107","1","3","2","2",21.61,1,1450
"108","1","3","2","3",27.4,3,5061
"109","1","3","2","4",5.81,2,3671
"110","1","3","2","5",13.19,2,4928
"111","1","3","2","6",32.8,5,69277
"112","1","3","2","7",620.15,70,267546
"113","1","3","3","1",94.29,13,54694
"114","1","3","3","2",31.55,3,34055
"115","1","3","3","3",29.43,2,1426
"116","1","3","3","4",5.58,0,0
"117","1","3","3","5",19.91,3,6534
"118","1","3","3","6",44.03,0,0
"119","1","3","3","7",677.03,64,340866
"120","1","3","4","1",107.13,11,94918
"121","1","3","4","2",32.28,3,2313
"122","1","3","4","3",33.65,4,12288
"123","1","3","4","4",3.27,0,0
"124","1","3","4","5",22.77,3,5911
"125","1","3","4","6",43.27,2,10115
"126","1","3","4","7",763.9,64,239157
"127","1","3","5","1",149.79,8,37006
"128","1","3","5","2",58.08,5,37990
"129","1","3","5","3",48.59,6,11364
"130","1","3","5","4",6.96,0,0
"131","1","3","5","5",34.25,4,35822
"132","1","3","5","6",59.82,4,6347
"133","1","3","5","7",1122.76,74,292784
"134","1","3","6","1",300.28,22,76756
"135","1","3","6","2",124.65,12,92958
"136","1","3","6","3",145.5,5,19178
"137","1","3","6","4",9.91,0,0
"138","1","3","6","5",63.07,5,20281
"139","1","3","6","6",101.73,6,43173
"140","1","3","6","7",2252.07,170,807559
"141","1","3","7","1",1291.25,41,293493
"142","1","3","7","2",520.94,29,138830
"143","1","3","7","3",676.38,28,235831
"144","1","3","7","4",35.33,2,5829
"145","1","3","7","5",299.99,23,120261
"146","1","3","7","6",523.39,14,62013
"147","1","3","7","7",10830.6,528,2752700
"148","1","4","1","1",109.23,13,60096
"149","1","4","1","2",31.71,3,36934
"150","1","4","1","3",32.35,2,32365
"151","1","4","1","4",9.88,1,3542
"152","1","4","1","5",19.48,2,1065
"153","1","4","1","6",50.65,5,42686
"154","1","4","1","7",802.37,96,541641
"155","1","4","2","1",180.1,26,103992
"156","1","4","2","2",35.5,5,65836
"157","1","4","2","3",50.22,2,32896
"158","1","4","2","4",11.9,1,2825
"159","1","4","2","5",36.25,6,11558
"160","1","4","2","6",106.18,7,21782
"161","1","4","2","7",1188.92,119,571736
"162","1","4","3","1",198.57,18,70984
"163","1","4","3","2",59.81,3,14822
"164","1","4","3","3",46.93,2,4836
"165","1","4","3","4",14.15,0,0
"166","1","4","3","5",35.34,1,1985
"167","1","4","3","6",106.79,5,40142
"168","1","4","3","7",1279.36,117,517200
"169","1","4","4","1",230.03,9,53377
"170","1","4","4","2",59.93,4,15865
"171","1","4","4","3",47.93,1,31442
"172","1","4","4","4",12.54,1,800
"173","1","4","4","5",34.38,1,2237
"174","1","4","4","6",107.54,7,50019
"175","1","4","4","7",1507.93,106,670558
"176","1","4","5","1",317.01,15,80540
"177","1","4","5","2",104.4,5,10570
"178","1","4","5","3",102.93,4,5590
"179","1","4","5","4",10.46,0,0
"180","1","4","5","5",50.41,2,4525
"181","1","4","5","6",122.58,5,16623
"182","1","4","5","7",2154.39,138,698447
"183","1","4","6","1",541.77,32,161900
"184","1","4","6","2",215.82,6,14288
"185","1","4","6","3",246.8,8,58500
"186","1","4","6","4",11.39,0,0
"187","1","4","6","5",133.59,13,95129
"188","1","4","6","6",226.28,10,22795
"189","1","4","6","7",4582.2,273,1498555
"190","1","4","7","1",2946.7,122,613652
"191","1","4","7","2",1117.96,58,255116
"192","1","4","7","3",1396.49,53,337846
"193","1","4","7","4",75.39,1,1962
"194","1","4","7","5",635.91,29,196401
"195","1","4","7","6",1291.12,50,333231
"196","1","4","7","7",23506.76,995,5510967
"197","1","5","1","1",9.75,0,0
"198","1","5","1","2",2.94,0,0
"199","1","5","1","3",14.21,3,13529
"200","1","5","1","4",0.76,0,0
"201","1","5","1","5",3.42,1,4058
"202","1","5","1","6",5.64,0,0
"203","1","5","1","7",122.32,18,160609.5
"204","1","5","2","1",17.77,0,0
"205","1","5","2","2",4.89,1,9007
"206","1","5","2","3",4.58,0,0
"207","1","5","2","4",0.1,0,0
"208","1","5","2","5",6.13,1,4225
"209","1","5","2","6",5.16,0,0
"210","1","5","2","7",146,13,95879
"211","1","5","3","1",20.03,0,0
"212","1","5","3","2",6.06,0,0
"213","1","5","3","3",3.24,1,779
"214","1","5","3","4",1.16,0,0
"215","1","5","3","5",1.52,0,0
"216","1","5","3","6",9.01,0,0
"217","1","5","3","7",201.72,15,83479
"218","1","5","4","1",20.61,3,35174
"219","1","5","4","2",7.09,0,0
"220","1","5","4","3",7.6,2,3611
"221","1","5","4","5",3.31,0,0
"222","1","5","4","6",13,0,0
"223","1","5","4","7",189.8,12,61341
"224","1","5","5","1",28.28,1,716
"225","1","5","5","2",17.99,1,3896
"226","1","5","5","3",21.19,1,1576
"227","1","5","5","5",10.13,0,0
"228","1","5","5","6",10.81,0,0
"229","1","5","5","7",250.04,22,107065
"230","1","5","6","1",54.72,1,3000
"231","1","5","6","2",21.61,2,4502
"232","1","5","6","3",42.44,2,3695
"233","1","5","6","4",1.65,0,0
"234","1","5","6","5",16.46,0,0
"235","1","5","6","6",26.23,2,10259
"236","1","5","6","7",622.06,49,212390.75
"237","1","5","7","1",266.04,17,80318
"238","1","5","7","2",116.75,6,48119
"239","1","5","7","3",171.84,9,26797
"240","1","5","7","4",2.07,0,0
"241","1","5","7","5",61.96,4,10580
"242","1","5","7","6",114.36,2,39981
"243","1","5","7","7",2610.11,112,714555.25
"244","1","6","1","1",30.8,4,8714
"245","1","6","1","2",11.97,2,7747
"246","1","6","1","3",3.22,1,31442
"247","1","6","1","4",1.34,0,0
"248","1","6","1","5",8.91,2,3112
"249","1","6","1","6",15.68,0,0
"250","1","6","1","7",215.06,16,121718
"251","1","6","2","1",62.69,9,20731
"252","1","6","2","2",8.04,0,0
"253","1","6","2","3",10.73,0,0
"254","1","6","2","4",1.68,0,0
"255","1","6","2","5",15.42,1,3277
"256","1","6","2","6",31.15,2,5291
"257","1","6","2","7",336,22,124516
"258","1","6","3","1",63.63,2,5400
"259","1","6","3","2",11.93,2,9525
"260","1","6","3","3",12.55,0,0
"261","1","6","3","4",2.3,0,0
"262","1","6","3","5",10.67,1,31442
"263","1","6","3","6",38.64,2,1953
"264","1","6","3","7",384.98,30,153161
"265","1","6","4","1",69.43,11,62295
"266","1","6","4","2",13.47,1,2575
"267","1","6","4","3",14.11,2,32158
"268","1","6","4","4",1.05,0,0
"269","1","6","4","5",7.5,1,31442
"270","1","6","4","6",36.19,0,0
"271","1","6","4","7",424.23,26,121387
"272","1","6","5","1",87.44,5,17072
"273","1","6","5","2",23.03,2,2283
"274","1","6","5","3",23.02,0,0
"275","1","6","5","4",1.58,0,0
"276","1","6","5","5",10.55,2,32423
"277","1","6","5","6",32.49,5,68672
"278","1","6","5","7",577.01,36,186668
"279","1","6","6","1",157.06,5,16138
"280","1","6","6","2",49.35,3,64610
"281","1","6","6","3",67.45,2,2977
"282","1","6","6","4",1.15,0,0
"283","1","6","6","5",39.6,1,1802
"284","1","6","6","6",75.36,2,11385
"285","1","6","6","7",1331.63,73,437058
"286","1","6","7","1",889.43,34,261859
"287","1","6","7","2",313.49,18,137743
"288","1","6","7","3",415.78,11,79125
"289","1","6","7","4",19.5,1,874
"290","1","6","7","5",178.83,10,21659
"291","1","6","7","6",389.82,17,64534
"292","1","6","7","7",7120.03,353,1672198
"293","1","7","1","1",0.9,0,0
"294","1","7","1","2",0.04,0,0
"295","1","7","1","5",0.7,0,0
"296","1","7","1","7",14.77,2,8628
"297","1","7","2","1",2.25,0,0
"298","1","7","2","2",0.72,0,0
"299","1","7","2","3",0.46,0,0
"300","1","7","2","5",0.3,0,0
"301","1","7","2","6",1.32,0,0
"302","1","7","2","7",28,1,1314
"303","1","7","3","1",4.71,0,0
"304","1","7","3","2",1.88,0,0
"305","1","7","3","3",0.08,0,0
"306","1","7","3","5",0.04,0,0
"307","1","7","3","6",1.88,0,0
"308","1","7","3","7",24.23,2,6600
"309","1","7","4","1",3.74,0,0
"310","1","7","4","2",1.2,0,0
"311","1","7","4","4",0.7,0,0
"312","1","7","4","6",0.96,1,1231
"313","1","7","4","7",24.64,0,0
"314","1","7","5","1",5.98,2,6102
"315","1","7","5","2",0.8,0,0
"316","1","7","5","3",1.1,0,0
"317","1","7","5","4",0.34,0,0
"318","1","7","5","5",0.7,0,0
"319","1","7","5","6",2.48,0,0
"320","1","7","5","7",40.51,2,4085
"321","1","7","6","1",8.47,0,0
"322","1","7","6","2",2.49,0,0
"323","1","7","6","3",2.89,0,0
"324","1","7","6","4",0.13,0,0
"325","1","7","6","5",1.36,0,0
"326","1","7","6","6",4.15,0,0
"327","1","7","6","7",73.89,2,32275
"328","1","7","7","1",51.24,1,31442
"329","1","7","7","2",21.74,2,31942
"330","1","7","7","3",9.91,0,0
"331","1","7","7","4",2.35,0,0
"332","1","7","7","5",8.74,0,0
"333","1","7","7","6",16.61,0,0
"334","1","7","7","7",400.76,17,113218
"335","2","1","1","1",455.13,108,392491
"336","2","1","1","2",69.17,19,46221
"337","2","1","1","3",72.88,13,15694
"338","2","1","1","4",1292.39,124,422201
"339","2","1","1","5",191.01,40,119373
"340","2","1","1","6",477.66,57,170913
"341","2","1","1","7",10136.59,1741,6940419
"342","2","1","2","1",314.58,45,214011
"343","2","1","2","2",61.82,10,65303
"344","2","1","2","3",47.06,5,20871
"345","2","1","2","4",782.58,48,242894
"346","2","1","2","5",115.43,11,23545
"347","2","1","2","6",338.06,23,39598
"348","2","1","2","7",6501.88,647,2928814
"349","2","1","3","1",309.98,24,134931
"350","2","1","3","2",49.18,6,50908
"351","2","1","3","3",32.02,3,4399
"352","2","1","3","4",497.2,23,112992
"353","2","1","3","5",73.48,6,14788
"354","2","1","3","6",278.01,9,48713
"355","2","1","3","7",5147.37,420,1772917
"356","2","1","4","1",318.48,29,103866
"357","2","1","4","2",57.21,7,77588
"358","2","1","4","3",35.33,4,11839
"359","2","1","4","4",374.28,20,98140
"360","2","1","4","5",85.18,7,27919
"361","2","1","4","6",199.7,7,103910
"362","2","1","4","7",4336.29,304,1305743
"363","2","1","5","1",444.37,25,69203
"364","2","1","5","2",86.65,6,14620
"365","2","1","5","3",53.81,5,40258
"366","2","1","5","4",361.62,22,161455
"367","2","1","5","5",117.91,3,20011
"368","2","1","5","6",232.55,11,57214
"369","2","1","5","7",4860.85,304,1120704
"370","2","1","6","1",1016.67,61,217617
"371","2","1","6","2",150.56,12,58099
"372","2","1","6","3",126.69,4,12268
"373","2","1","6","4",517.31,16,59634
"374","2","1","6","5",246.62,13,84966
"375","2","1","6","6",482.96,19,137005
"376","2","1","6","7",9427.47,537,1979940
"377","2","1","7","1",5430.48,214,1048698
"378","2","1","7","2",659.54,24,143915
"379","2","1","7","3",657.34,22,153830
"380","2","1","7","4",2795.72,60,202413
"381","2","1","7","5",1119.12,41,180345
"382","2","1","7","6",2861.69,92,484604
"383","2","1","7","7",49542.25,1918,9144412
"384","2","2","1","1",458.89,98,532092
"385","2","2","1","2",72.78,5,9006
"386","2","2","1","3",33.23,7,45498
"387","2","2","1","4",1544.55,101,337480
"388","2","2","1","5",200.9,43,191982
"389","2","2","1","6",663.98,65,300632
"390","2","2","1","7",11534.97,1340,6210528
"391","2","2","2","1",364.78,40,211494
"392","2","2","2","2",51.89,5,10811
"393","2","2","2","3",29.39,4,36204
"394","2","2","2","4",1053.01,33,135007
"395","2","2","2","5",110.1,16,49061
"396","2","2","2","6",470.62,30,64287
"397","2","2","2","7",7718.83,600,2561887
"398","2","2","3","1",315.14,17,106975
"399","2","2","3","2",64.53,4,16922
"400","2","2","3","3",27.24,2,8255
"401","2","2","3","4",726.13,29,93656
"402","2","2","3","5",96.49,4,44966
"403","2","2","3","6",365.81,16,43426
"404","2","2","3","7",5993.08,326,1442668
"405","2","2","4","1",320.47,16,136143
"406","2","2","4","2",69.55,4,34137
"407","2","2","4","3",33.37,1,2702
"408","2","2","4","4",507.57,9,22292
"409","2","2","4","5",72.4,7,20295
"410","2","2","4","6",316.14,9,57404
"411","2","2","4","7",5047.96,272,1384526
"412","2","2","5","1",473.63,27,136376
"413","2","2","5","2",88.09,8,19038
"414","2","2","5","3",46.27,2,3604
"415","2","2","5","4",467.96,9,10597
"416","2","2","5","5",126.88,10,26433
"417","2","2","5","6",316.15,11,52950
"418","2","2","5","7",5605.79,290,1103530
"419","2","2","6","1",996.27,61,236220
"420","2","2","6","2",175.14,10,25036
"421","2","2","6","3",111.97,5,22261
"422","2","2","6","4",601.61,16,88961
"423","2","2","6","5",260.69,14,64368
"424","2","2","6","6",593.18,17,65578
"425","2","2","6","7",10107.1,427,1901371
"426","2","2","7","1",6021.43,233,1086534
"427","2","2","7","2",852.8,33,165960
"428","2","2","7","3",751.59,24,100564
"429","2","2","7","4",3293.99,60,201401
"430","2","2","7","5",1289.09,53,272610
"431","2","2","7","6",3665.27,97,524316
"432","2","2","7","7",56638.43,1784,8678652
"433","2","3","1","1",453.06,72,329632
"434","2","3","1","2",67.13,9,79565
"435","2","3","1","3",35.22,5,11746
"436","2","3","1","4",1653.17,89,338305
"437","2","3","1","5",206.62,38,124108
"438","2","3","1","6",859.95,64,213078
"439","2","3","1","7",11572.08,1221,5234086
"440","2","3","2","1",317.1,25,90162
"441","2","3","2","2",54.58,8,19327
"442","2","3","2","3",22.59,3,1209
"443","2","3","2","4",1187.43,30,123124
"444","2","3","2","5",129.53,13,99258
"445","2","3","2","6",617.11,40,137828
"446","2","3","2","7",8475.85,433,1952946
"447","2","3","3","1",357.43,18,37835
"448","2","3","3","2",62.87,3,5014
"449","2","3","3","3",18,0,0
"450","2","3","3","4",849.23,25,61591
"451","2","3","3","5",119.21,6,47495
"452","2","3","3","6",463.6,20,53173
"453","2","3","3","7",6659.01,311,1327403
"454","2","3","4","1",338.37,19,136281
"455","2","3","4","2",52.49,2,9253
"456","2","3","4","3",27.97,0,0
"457","2","3","4","4",571.94,23,142536
"458","2","3","4","5",113.36,6,21433
"459","2","3","4","6",406.33,21,131027
"460","2","3","4","7",5225.09,221,999631
"461","2","3","5","1",459.4,16,61958
"462","2","3","5","2",73.51,2,5056
"463","2","3","5","3",41.51,4,44278
"464","2","3","5","4",517.24,8,18455
"465","2","3","5","5",136.08,8,28248
"466","2","3","5","6",417.71,11,15568
"467","2","3","5","7",5978.32,244,1193523
"468","2","3","6","1",1060.28,43,245621
"469","2","3","6","2",124.82,7,12648
"470","2","3","6","3",119.17,2,5855
"471","2","3","6","4",639.97,12,64278
"472","2","3","6","5",307.56,14,90310
"473","2","3","6","6",740.33,24,117763
"474","2","3","6","7",10550.28,403,2053078
"475","2","3","7","1",7155.96,197,980780
"476","2","3","7","2",999.32,32,168854
"477","2","3","7","3",1049.99,19,41459
"478","2","3","7","4",3712.23,67,229231
"479","2","3","7","5",1862.44,74,388511
"480","2","3","7","6",4964,121,622350
"481","2","3","7","7",67734.15,1931,10232063
"482","2","4","1","1",868.6,115,627513
"483","2","4","1","2",122.54,10,113492
"484","2","4","1","3",55.08,3,33925
"485","2","4","1","4",2751.7,98,578698
"486","2","4","1","5",328.36,36,149698
"487","2","4","1","6",1730.51,105,604161
"488","2","4","1","7",20433.96,1463,6694443
"489","2","4","2","1",622.23,41,300510
"490","2","4","2","2",94.03,5,11936
"491","2","4","2","3",36.73,2,6387
"492","2","4","2","4",2037.95,48,152944
"493","2","4","2","5",189.27,17,40047
"494","2","4","2","6",1217.01,65,344450
"495","2","4","2","7",14830.97,661,3264436
"496","2","4","3","1",613.17,32,168882
"497","2","4","3","2",108.4,5,43676
"498","2","4","3","3",37.2,0,0
"499","2","4","3","4",1447.58,25,66208
"500","2","4","3","5",168.81,8,30465
"501","2","4","3","6",933.44,40,374818
"502","2","4","3","7",11500.09,434,2082373
"503","2","4","4","1",573.86,29,214513
"504","2","4","4","2",103.82,4,12077
"505","2","4","4","3",49.14,2,12947
"506","2","4","4","4",970.81,20,77705
"507","2","4","4","5",135.49,6,16781
"508","2","4","4","6",740.62,25,87155
"509","2","4","4","7",8946.32,295,1203398
"510","2","4","5","1",783.1,28,97770
"511","2","4","5","2",127.17,7,21026
"512","2","4","5","3",86.26,4,15583
"513","2","4","5","4",886.11,16,71474
"514","2","4","5","5",200.68,14,74804
"515","2","4","5","6",825.58,16,76879
"516","2","4","5","7",10088.3,328,1685206
"517","2","4","6","1",1839.13,72,505590
"518","2","4","6","2",298.73,5,16182
"519","2","4","6","3",234.01,8,42369
"520","2","4","6","4",1047.27,22,147524
"521","2","4","6","5",481.63,16,70430
"522","2","4","6","6",1317.07,34,162323
"523","2","4","6","7",17784.06,551,3041833
"524","2","4","7","1",15297.44,389,2505764
"525","2","4","7","2",2085.44,65,296375
"526","2","4","7","3",2140.94,38,253490
"527","2","4","7","4",6923.74,100,435674
"528","2","4","7","5",3721.62,115,641018
"529","2","4","7","6",10409.88,194,1070372
"530","2","4","7","7",131708.8,3003,16017692
"531","2","5","1","1",161.19,22,112479
"532","2","5","1","2",15.53,2,1668
"533","2","5","1","3",6.07,0,0
"534","2","5","1","4",454.21,15,61507
"535","2","5","1","5",69.38,13,83497
"536","2","5","1","6",301.14,21,87734
"537","2","5","1","7",3703.92,413,1907891
"538","2","5","2","1",132.69,7,27325
"539","2","5","2","2",17.31,1,1554
"540","2","5","2","3",4.2,0,0
"541","2","5","2","4",324.26,10,22854
"542","2","5","2","5",51.8,4,40692
"543","2","5","2","6",218.84,12,88266
"544","2","5","2","7",2746.08,178,656838.25
"545","2","5","3","1",122.86,8,51943
"546","2","5","3","2",21.15,0,0
"547","2","5","3","3",5.15,0,0
"548","2","5","3","4",240.23,6,13492
"549","2","5","3","5",38.15,6,16170
"550","2","5","3","6",173.78,4,17523
"551","2","5","3","7",2028.58,120,527475.5
"552","2","5","4","1",116.24,3,7229
"553","2","5","4","2",16.48,1,1000
"554","2","5","4","3",9.31,1,9867
"555","2","5","4","4",160.66,8,22404
"556","2","5","4","5",27.77,4,8119
"557","2","5","4","6",145.54,8,33299
"558","2","5","4","7",1630.59,75,367412
"559","2","5","5","1",185.95,11,53110
"560","2","5","5","2",23.75,2,4900
"561","2","5","5","3",15.57,0,0
"562","2","5","5","4",140.66,2,4876
"563","2","5","5","5",41.71,1,7056
"564","2","5","5","6",141.81,2,3200
"565","2","5","5","7",1805.85,89,363901
"566","2","5","6","1",394.91,9,25994
"567","2","5","6","2",55.35,3,7232
"568","2","5","6","3",40.03,1,1373
"569","2","5","6","4",177.67,4,6211
"570","2","5","6","5",92.95,7,21706
"571","2","5","6","6",244.32,8,41753
"572","2","5","6","7",3367.5,172,782604.5
"573","2","5","7","1",2257.49,80,452280
"574","2","5","7","2",284.44,7,45614
"575","2","5","7","3",300.78,9,55124
"576","2","5","7","4",946.25,19,68243
"577","2","5","7","5",583.99,18,113925
"578","2","5","7","6",1332.39,38,138432
"579","2","5","7","7",18389.21,607,2852339.75
"580","2","6","1","1",340.1,31,75947
"581","2","6","1","2",38.25,3,5658
"582","2","6","1","3",16.23,0,0
"583","2","6","1","4",767.66,30,187167
"584","2","6","1","5",134.82,31,164961
"585","2","6","1","6",585.23,44,309679
"586","2","6","1","7",6854.64,553,2751948
"587","2","6","2","1",233.67,20,159609
"588","2","6","2","2",33.6,2,5403
"589","2","6","2","3",14.01,0,0
"590","2","6","2","4",563.21,7,12459
"591","2","6","2","5",84.85,10,55348
"592","2","6","2","6",436.38,14,72563
"593","2","6","2","7",4798.62,230,1033992
"594","2","6","3","1",230.77,10,97153
"595","2","6","3","2",37.88,1,789
"596","2","6","3","3",14.41,0,0
"597","2","6","3","4",386.7,10,57758
"598","2","6","3","5",76.88,5,14166
"599","2","6","3","6",294.37,15,106215
"600","2","6","3","7",3628.7,134,827261
"601","2","6","4","1",186.52,12,81889
"602","2","6","4","2",31.99,3,2985
"603","2","6","4","3",15.77,0,0
"604","2","6","4","4",283.49,6,73962
"605","2","6","4","5",57.53,5,20515
"606","2","6","4","6",219.19,5,14794
"607","2","6","4","7",2777.88,105,558916
"608","2","6","5","1",253.84,20,105565
"609","2","6","5","2",47.01,2,5207
"610","2","6","5","3",28.29,0,0
"611","2","6","5","4",259.21,1,31442
"612","2","6","5","5",72.82,1,1742
"613","2","6","5","6",252.17,8,74154
"614","2","6","5","7",3023.59,91,652252
"615","2","6","6","1",560.62,17,107765
"616","2","6","6","2",88.23,0,0
"617","2","6","6","3",55.88,3,4731
"618","2","6","6","4",274.15,3,10929
"619","2","6","6","5",186,9,16980
"620","2","6","6","6",424.38,12,62560
"621","2","6","6","7",5450.37,194,1110401
"622","2","6","7","1",4492.77,136,727249
"623","2","6","7","2",606.55,16,114290
"624","2","6","7","3",561.04,21,128950
"625","2","6","7","4",1799.95,29,191942
"626","2","6","7","5",1203.92,48,118462
"627","2","6","7","6",2874.45,70,422565
"628","2","6","7","7",36231.19,928,5522032
"629","2","7","1","1",23.96,4,9848
"630","2","7","1","2",4.05,0,0
"631","2","7","1","4",92.39,5,4642
"632","2","7","1","5",7.36,0,0
"633","2","7","1","6",29.72,0,0
"634","2","7","1","7",565.5,39,109702
"635","2","7","2","1",20.83,1,2772
"636","2","7","2","2",3.41,0,0
"637","2","7","2","3",0.23,0,0
"638","2","7","2","4",48.63,1,1980
"639","2","7","2","5",2.1,0,0
"640","2","7","2","6",20.84,5,12647
"641","2","7","2","7",416.23,19,45789
"642","2","7","3","1",17.42,0,0
"643","2","7","3","2",2.38,0,0
"644","2","7","3","3",0.5,0,0
"645","2","7","3","4",46.18,1,756
"646","2","7","3","5",3.31,0,0
"647","2","7","3","6",13.92,1,2199
"648","2","7","3","7",289.04,7,15229
"649","2","7","4","1",13.24,0,0
"650","2","7","4","2",2.31,1,5000
"651","2","7","4","3",0.8,0,0
"652","2","7","4","4",27.66,0,0
"653","2","7","4","5",4.74,0,0
"654","2","7","4","6",11.37,0,0
"655","2","7","4","7",227.99,5,9681
"656","2","7","5","1",19.87,0,0
"657","2","7","5","2",5.74,1,3900
"658","2","7","5","3",1.69,0,0
"659","2","7","5","4",29.05,1,2913
"660","2","7","5","5",3.59,0,0
"661","2","7","5","6",14.42,1,3174
"662","2","7","5","7",282.07,13,31522
"663","2","7","6","1",41.17,1,3325
"664","2","7","6","2",7.55,2,7963
"665","2","7","6","3",1.56,0,0
"666","2","7","6","4",36.23,1,1327
"667","2","7","6","5",9.82,0,0
"668","2","7","6","6",21.9,0,0
"669","2","7","6","7",463.29,15,103527
"670","2","7","7","1",294.57,3,8171
"671","2","7","7","2",50.12,1,1510
"672","2","7","7","3",26.06,0,0
"673","2","7","7","4",216.41,4,65435
"674","2","7","7","5",60.68,0,0
"675","2","7","7","6",208.35,5,74182
"676","2","7","7","7",3371.13,77,340189
"677","3","1","1","1",638.51,148,578831
"678","3","1","1","2",94.77,29,137355
"679","3","1","1","3",126.87,29,137680
"680","3","1","1","4",398.58,55,162678
"681","3","1","1","5",167.88,41,73435
"682","3","1","1","6",354.26,48,166416
"683","3","1","1","7",6914.38,1426,6579888
"684","3","1","2","1",605.01,86,484085
"685","3","1","2","2",96.42,12,93305
"686","3","1","2","3",94.57,12,62554
"687","3","1","2","4",319.2,20,43734
"688","3","1","2","5",152.42,24,109785
"689","3","1","2","6",349.2,27,92572
"690","3","1","2","7",6051.93,733,3365499
"691","3","1","3","1",599.51,78,450864
"692","3","1","3","2",121.49,17,142141
"693","3","1","3","3",91.96,13,93038
"694","3","1","3","4",234.48,13,65170
"695","3","1","3","5",134.82,19,111059
